,app_title
0,Animation Throwdown
1,Best Fiends
2,Bingo Blitz
3,Bingo Cash
4,Blackout Bingo
5,Bubble Shooter Pop
6,Caesars Slots
7,Cash Me Out Bingo
8,Coin Dozer
9,Colorwood Sort Puzzle Game
10,Cooking Madness
11,Cosmic Rewards
12,Dice Dreams
13,Dominoes Gold
14,DoubleDown Casino
15,Family Island
16,Garden Joy
17,Jigsaw Puzzle
18,Kings Throne
19,Klondike Solitaire
20,MGM Slots Live
21,Match 3D
22,Merge Gardens
23,Mistplay
24,Monopoly Go!
25,Rewarded Play
26,Rummy Rush
27,Slotomania
28,Solitaire
29,Solitaire Grand Harvest
30,Solitaire Match 3
31,Testerup
32,Tiki Solitaire TriPeaks
33,Triple Tile
34,Uber Eats
35,Upside
36,Woodoku
37,Wordscapes
38,Yatzy Cash
